シーケンス,サウンド バイトのテキスト,評価およびスコア,サウンド バイトのセンチメント,タイトル,情報源の種類,投稿タイプ,メディア タイプ,URL,ドメイン,公開日 (GMT+09:00) Tokyo,投稿者の性別,投稿者の URL,投稿者名,投稿者の ID,投稿者 ID,投稿者ロケーション - 国 1,投稿者のロケーション - 州/省 1,投稿者ロケーション - 市区町村 1,投稿者ロケーション - 国 2,投稿者のロケーション - 州/省 2,投稿者ロケーション - 市区町村 2,投稿者ロケーション - その他,フォロワー数/ユニーク ビジター数 (日単位),職業,関心,タグ,引用された投稿,引用された投稿者名,引用された投稿者の ID,合計エンゲージメント数,コメント投稿,「いいね！」する,シェア投稿,ビューを投稿,嫌いなものを投稿,製品名,製品階層,評価
1,レスポンス 日産、熊本のEVバスプロジェクトに技術協力…リーフのバッテリーなど利用 レスポンス 日産自動車は、今年2月から熊本市内で実証実験走行を開始するEVバス「よかエコバス」に技術協力を実施したと発表した。 よか… goo.gl/fb/pSiqhF #九州,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/kyusyu_infom/statuses/955236935831703552,twitter.com,2018/01/22 9:33:27,Unknown,http://twitter.com/kyusyu_infom,九州 Information,kyusyu_infom,866710500595310592,,,,,,,,38,,,,,,,,,,,,,,,
2,The latest 森山和道周辺のあれこれ新聞! paper.li/kmoriyama/1337… Thanks to @Heihachiro8220 @masakichi2001 @tw_ykaji #technology #日産リーフ,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/kmoriyama/statuses/958288009308332032,twitter.com,2018/01/30 19:37:20,男性,http://twitter.com/kmoriyama,森山和道,kmoriyama,43043475,日本,東京都,,,,,,7836,芸術・創作,文学,,,,,,,,,,,,,
3,日産リーフ、驚愕の氷上雪上性能。河口まなぶ rdsig.yahoo.co.jp/rss/l/bylines/…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/silvanaogl/statuses/956835035297988608,twitter.com,2018/01/26 19:23:44,女性,http://twitter.com/silvanaogl,あんり,silvanaogl,901017745436942336,,,,,,,,64,,,,,,,,,,,,,,,
4,@lvory_bear ホンダもトロロッソに行って枕プギャって欲しいは。 流石にルノーの子会社日産に気を使うやろトヨタも。 GP2とかいいながらリーフをプリウス乗りながらdisるとかは見てみたいけどw,,ネガティブ,,Twitter,返信およびコメント,メディアなし,http://twitter.com/wats4936/statuses/962332492748357633,twitter.com,2018/02/10 23:28:40,Unknown,http://twitter.com/wats4936,わっつりアンダギー,wats4936,53376198,,,,,,,,1177,,音楽; ゲーム; 自動車; アニメ・漫画,,,,,,,,,,,,,
5,トヨタ、ホンダあたりは真剣に電気自動車に舵を切らないと取り残されると思う。日産だってまだリーフくらいしかない。今ならまだ巻き返せると思うんだけど。,,Neutral,,Twitter,オリジナル,メディアなし,http://twitter.com/airmassufx/statuses/963046295794405378,twitter.com,2018/02/12 22:45:04,Unknown,http://twitter.com/airmassufx,airmassu投資用,airmassufx,1878517398,,,,,,,,600,,,,,,,,,,,,,,,
6,日産、四国電力とコラボキャンペーン実施…リーフ購入で毎月ポイントがもらえる（オートックワン） rdsig.yahoo.co.jp/rss/l/headline…,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/tourmaline_luck/statuses/956077701286199297,twitter.com,2018/01/24 17:14:21,Unknown,http://twitter.com/tourmaline_luck,河内,tourmaline_luck,2905408986,,,,,,,,41,,,,,,,,,,,,,,,
7,レスポンス トヨタ カムリ、日産 リーフ、マツダ CX-5 が残る…世界カーオブザイヤーの第二次選考10台 レスポンス ワールドカーオブザイヤー（WCOTY）主催団体は1月23日、「2018… 2bit.tk/XJjo9,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/matsuda40546258/statuses/956036235558117376,twitter.com,2018/01/24 14:29:35,Unknown,http://twitter.com/matsuda40546258,マツダ,matsuda40546258,1338732217,,,,,,,,435,,,,,,,,,,,,,,,
8,熊本の産学官共同プロジェクトで誕生したEVバスに、日産技術協力 （EconomicNews） goo.gl/fb/FjJdgf,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/clip_board_clip/statuses/955552775298928640,twitter.com,2018/01/23 6:28:29,Unknown,http://twitter.com/clip_board_clip,回覧板,clip_board_clip,832220757035884545,,,,,,,,1797,,,,,,,,,,,,,,,
9,EVは人の身体と一体化する？ 佐々木俊尚さんと体感する新型「日産リーフ」の実力 ift.tt/2DBmSi5,,Neutral,,Twitter,オリジナル,リンク,http://twitter.com/foxduo/statuses/956800467513864192,twitter.com,2018/01/26 17:06:22,Unknown,http://twitter.com/foxduo,誰得news配信bot,foxduo,1647738631,,,,,,,,39,,,,,,,,,,,,,,,
10,【2018年：第59回 AJCC（GⅡ）の厳選オススメ馬を紹介！！予想です！！】 youtu.be/RIvAyofoEqo #日産リーフ #小室哲哉 #せふほで本性が分かる #イケメンか女神かオッサンかBBAか #カリオストロ #神か天使か悪魔か妖精 #XIVLive #毘沙門天廻 #シロ生放送 #ロンハー　#小室さん引退 pic.twitter.com/a4ybQCUax7,,Neutral,,Twitter,オリジナル,リンク; 画像,http://twitter.com/indonoringo/statuses/954325542953664512,twitter.com,2018/01/19 21:11:54,Unknown,http://twitter.com/indonoringo,印度の林檎@情熱とテンション,indonoringo,298948446,日本,埼玉県,所沢市,,,,,2753,,,,,,,,,,,,,,,
